id,name,namealt,nameloc,namelocalt,langloc,type,typeloc,iso3,area,daterec,datelast,srcgeom,note
"7",Annapurna Conservation Area,,,,nep,Conservation Area,,NPL,,,2023-09-25,pad-nepal,
"10",Rara National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"12",Khaptad National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"11",Api Nampa Conservation Area,,,,nep,Conservation Area,,NPL,,,2023-09-25,pad-nepal,
"14",Koshi Tappu Wildlife Reserve,,,,nep,Wildlife Reserve and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"1",Kanchenjunga Conservation Area,,,,nep,Conservation Area,,NPL,,,2023-09-25,pad-nepal,
"5",Langtang National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"6",Manasalu Conservation Area,,,,nep,Conservation Area,,NPL,,,2023-09-25,pad-nepal,
"18",Bardiya National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"17",Banke National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"15",Parsa National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"20",Shuklaphanta National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"13",Shivapuri Nagarjun National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"9",Shey Phoksundo National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"8",Dhorpatan Hunting Reserve,,,,nep,Hunting Reserve,,NPL,,,2023-09-25,pad-nepal,
"19",Krishnasar Conservation Area,Blackbuck Conservation Area,,,nep,Conservation Area,,NPL,,,2023-09-25,pad-nepal,
"16",Chitwan National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"4",Guarishankar Conservation Area,,,,nep,Conservation Area,,NPL,,,2023-09-25,pad-nepal,
"2",Makalu Barun National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
"3",Sagarmatha National Park,,,,nep,National Park and Buffer Zone,,NPL,,,2023-09-25,pad-nepal,
